Data,Descrição,Valor,Estabelecimento
15/01/2024,Compra supermercado,100.00,Extra Supermercados
16/01/2024,Estorno produto defeituoso,-20.00,Extra Supermercados
17/01/2024,Aluguel apartamento,1200.00,Imobiliária Silva Santos
18/01/2024,Reembolso combustível,-80.00,Posto Shell BR
19/01/2024,Uber para trabalho,25.00,Uber Technologies
20/01/2024,Cashback cartão,-15.00,Banco Inter
21/01/2024,Conta de luz,150.00,Cemig Distribuição
22/01/2024,Pagamento fatura cartão,2500.00,Pagamentos Validos Normais
23/01/2024,Farmácia remédios,85.50,Drogaria Pacheco
24/01/2024,Estorno compra cancelada,-42.30,Magazine Luiza
