Data,Descrição,Valor,Estabelecimento
2024-01-15,Salário mensal,5000.00,Tech Corp LTDA
2024-01-16,Compras supermercado,-850.00,Supermercado Central
2024-01-01,Aluguel apartamento,-1200.00,Imobiliária Silva
2024-01-20,Projeto freelance,800.00,Startup ABC
2024-01-18,Combustível,-320.00,Auto Posto Km 0
2024-01-12,Conta de luz,-180.00,Eletropaulo
2024-01-25,Almoco restaurante,-45.00,Restaurante Bom Sabor
2024-01-28,Uber,-25.00,Uber
2024-01-30,Farmácia medicamentos,-120.00,Drogasil
2024-01-05,Consultoria TI,1200.00,Empresa XYZ
2024-01-22,Netflix,-39.90,Netflix Brasil
2024-01-14,Supermercado,-280.00,Extra Supermercados
2024-01-08,Posto gasolina,-150.00,Shell
2024-01-10,Plano saúde,-350.00,Unimed
2024-01-24,Cinema,-35.00,Cinemark
2024-01-27,Academia,-89.90,Smart Fit
2024-01-03,Internet,-99.00,Vivo Fibra
2024-01-19,Padaria,-18.50,Padaria do João
2024-01-21,Estacionamento,-15.00,Estapar
2024-01-26,Loja roupas,-189.00,C&A
