Data,Descrição,Valor,Estabelecimento
2024-01-01,Salário mensal,5000.00,Tech Corp LTDA
2024-01-02,Supermercado compras,-280.50,Extra Supermercados
2024-01-03,Aluguel apartamento,-1200.00,Imobiliária Silva
2024-01-04,Combustível,-150.00,Shell
2024-01-05,Freelance web design,800.00,Startup ABC
2024-01-06,Restaurante almoço,-45.00,Restaurante Bom Sabor
2024-01-07,Conta de luz,-180.00,Eletropaulo
2024-01-08,Uber transporte,-25.00,Uber
2024-01-09,Farmácia medicamentos,-120.00,Drogasil
2024-01-10,Netflix streaming,-39.90,Netflix Brasil
2024-01-11,Academia mensalidade,-89.90,Smart Fit
2024-01-12,Internet fibra,-99.00,Vivo Fibra
2024-01-13,Padaria café da manhã,-18.50,Padaria do João
2024-01-14,Estacionamento,-15.00,Estapar
2024-01-15,Loja roupas,-189.00,C&A
2024-01-16,Consultoria TI,1200.00,Empresa XYZ
2024-01-17,Posto gasolina,-160.00,Petrobras
2024-01-18,Plano saúde,-350.00,Unimed
2024-01-19,Cinema ingresso,-35.00,Cinemark
2024-01-20,Supermercado compras,-320.00,Pão de Açúcar
2024-01-21,Uber Eats delivery,-55.00,Uber Eats
2024-01-22,Conta água,-80.00,Sabesp
2024-01-23,Livraria livros,-75.00,Saraiva
2024-01-24,Farmácia vitaminas,-95.00,Droga Raia
2024-01-25,Restaurante jantar,-85.00,Pizza Hut
2024-01-26,Conta telefone,-120.00,Claro
2024-01-27,Posto combustível,-145.00,Shell
2024-01-28,Loja eletrônicos,-450.00,Magazine Luiza
2024-01-29,Consultoria extra,600.00,Cliente Freelance
2024-01-30,Supermercado final,-240.00,Carrefour
2024-02-01,Salário mensal,5000.00,Tech Corp LTDA
2024-02-02,Aluguel apartamento,-1200.00,Imobiliária Silva
2024-02-03,Conta luz,-175.00,Eletropaulo
2024-02-04,Internet,-99.00,Vivo Fibra
2024-02-05,Plano saúde,-350.00,Unimed
2024-02-06,Academia,-89.90,Smart Fit
2024-02-07,Netflix,-39.90,Netflix Brasil
2024-02-08,Supermercado,-310.00,Extra
2024-02-09,Combustível,-170.00,Petrobras
2024-02-10,Restaurante,-65.00,Outback
2024-02-11,Farmácia,-85.00,Drogasil
2024-02-12,Uber,-30.00,Uber
2024-02-13,Cinema,-40.00,Cinemark
2024-02-14,Loja roupas,-220.00,Renner
2024-02-15,Freelance design,750.00,Agência Digital
2024-02-16,Padaria,-25.00,Padaria Central
2024-02-17,Estacionamento,-20.00,Estapar
2024-02-18,Conta água,-75.00,Sabesp
2024-02-19,Telefone,-115.00,Vivo
2024-02-20,Posto,-155.00,Shell
2024-02-21,Supermercado,-285.00,Pão de Açúcar
2024-02-22,Livraria,-60.00,Cultura
2024-02-23,Restaurante,-70.00,Subway
2024-02-24,Farmácia,-105.00,Droga Raia
2024-02-25,Loja casa,-180.00,Tok Stok
2024-02-26,Uber Eats,-45.00,iFood
2024-02-27,Cinema,-35.00,UCI
2024-02-28,Consultoria final,400.00,Projeto Especial
2024-03-01,Salário mensal,5200.00,Tech Corp LTDA
2024-03-02,Aluguel apartamento,-1200.00,Imobiliária Silva
2024-03-03,Conta luz,-190.00,Eletropaulo
2024-03-04,Internet,-99.00,Vivo Fibra
2024-03-05,Plano saúde,-350.00,Unimed
2024-03-06,Academia,-89.90,Smart Fit
2024-03-07,Netflix,-39.90,Netflix Brasil
2024-03-08,Supermercado,-340.00,Carrefour
2024-03-09,Combustível,-180.00,Petrobras
2024-03-10,Restaurante,-75.00,McDonald's
2024-03-11,Farmácia,-95.00,Drogasil
2024-03-12,Uber,-35.00,Uber
2024-03-13,Cinema,-45.00,Kinoplex
2024-03-14,Loja roupas,-280.00,Zara
2024-03-15,Freelance app,900.00,Startup Tech
2024-03-16,Padaria,-30.00,Padaria Moderna
2024-03-17,Estacionamento,-25.00,Shopping Center
2024-03-18,Conta água,-85.00,Sabesp
2024-03-19,Telefone,-125.00,Tim
2024-03-20,Posto,-165.00,Shell
2024-03-21,Supermercado,-295.00,Extra
2024-03-22,Livraria,-80.00,Amazon Books
2024-03-23,Restaurante,-90.00,Burger King
2024-03-24,Farmácia,-115.00,Droga Raia
2024-03-25,Loja móveis,-350.00,Casas Bahia
2024-03-26,Delivery comida,-65.00,Rappi
2024-03-27,Cinema,-40.00,Cinemark
2024-03-28,Freelance extra,550.00,Cliente Premium
2024-03-29,Supermercado,-260.00,Pão de Açúcar
2024-03-30,Conta gás,-70.00,Comgás
2024-03-31,Restaurante despedida,-120.00,Fogo de Chão
